x,l
http://vocab.getty.edu/aat/300263406,agate ware
http://vocab.getty.edu/aat/300191086,visual works (works)
http://vocab.getty.edu/aat/300033691,ébauches
http://vocab.getty.edu/aat/300264824,pentaptychs
http://vocab.getty.edu/aat/300178242,Andachtsbilder
http://vocab.getty.edu/aat/300391129,devotional tokens
http://vocab.getty.edu/aat/300041379,lithographs
http://vocab.getty.edu/aat/300185434,brush strokes
http://vocab.getty.edu/aat/300178452,imprimatura
http://vocab.getty.edu/aat/300178449,lay-in
http://vocab.getty.edu/aat/300264525,Bargello work (pattern)
http://vocab.getty.edu/aat/300165041,Chinese fretwork
http://vocab.getty.edu/aat/300127198,anaglyphs
http://vocab.getty.edu/aat/300233472,faïence fine
http://vocab.getty.edu/aat/300128355,black-and-white transparencies
http://vocab.getty.edu/aat/300138292,Autochromes (photographs)
http://vocab.getty.edu/aat/300194341,heliotypes (prints)
http://vocab.getty.edu/aat/300154361,line blocks
http://vocab.getty.edu/aat/300343367,typogravures (prints)
http://vocab.getty.edu/aat/300264707,photoaquatints (prints)
http://vocab.getty.edu/aat/300154355,collotypes (prints)
http://vocab.getty.edu/aat/300263891,astronomical maps
http://vocab.getty.edu/aat/300134693,passport photographs
http://vocab.getty.edu/aat/300127180,direct positives
http://vocab.getty.edu/aat/300128343,black-and-white negatives
http://vocab.getty.edu/aat/300127190,calotypes (negatives)
http://vocab.getty.edu/aat/300128349,black-and-white prints (photographs)
http://vocab.getty.edu/aat/300127121,albumen prints
http://vocab.getty.edu/aat/300134468,astrophotographs
http://vocab.getty.edu/aat/300138324,bromoil prints
http://vocab.getty.edu/aat/300222484,finger puppets
http://vocab.getty.edu/aat/300181925,bambocciate
http://vocab.getty.edu/aat/300375669,Torah shrines
http://vocab.getty.edu/aat/300128222,aerial photographs
http://vocab.getty.edu/aat/300257360,barbotine
http://vocab.getty.edu/aat/300419326,beta radiographs
http://vocab.getty.edu/aat/300134783,reflection holograms
http://vocab.getty.edu/aat/300134881,dye diffusion transfer prints
http://vocab.getty.edu/aat/300132229,body plans
http://vocab.getty.edu/aat/300312092,artists' films
http://vocab.getty.edu/aat/300127195,cameotypes
http://vocab.getty.edu/aat/300400717,application lace
http://vocab.getty.edu/aat/300265257,Antwerp lace
http://vocab.getty.edu/aat/300133187,docking plans
http://vocab.getty.edu/aat/300128374,black-and-white slides
http://vocab.getty.edu/aat/300266694,orotones
http://vocab.getty.edu/aat/300134920,gelatin dry plate negatives
http://vocab.getty.edu/aat/300127173,negatives (photographs)
http://vocab.getty.edu/aat/300412092,commercial photographs
http://vocab.getty.edu/aat/300139768,<photographs by picture-taking technique>
http://vocab.getty.edu/aat/300128347,black-and-white photographs
