x,l
http://vocab.getty.edu/aat/300391214,Brassica oleracea
http://vocab.getty.edu/aat/300386042,Orchis mascula (species)
http://vocab.getty.edu/aat/300404060,arulae
http://vocab.getty.edu/aat/300215214,Lenten veils
http://vocab.getty.edu/aat/300391318,Spartium junceum (species)
http://vocab.getty.edu/aat/300419312,Asclepias (genus)
http://vocab.getty.edu/aat/300013126,carotene
http://vocab.getty.edu/aat/300391340,Guibourtia demeusei (species)
http://vocab.getty.edu/aat/300391343,Coix lacryma-jobi (species)
http://vocab.getty.edu/aat/300391442,Lawsonia (genus)
http://vocab.getty.edu/aat/300391443,Lawsonia inermis (species)
http://vocab.getty.edu/aat/300435298,Asterids (clade)
http://vocab.getty.edu/aat/300389833,Vitales (order)
http://vocab.getty.edu/aat/300389834,Vitaceae (family)
http://vocab.getty.edu/aat/300435304,Vitis (genus)
http://vocab.getty.edu/aat/300443850,aircraft factories (built works)
http://vocab.getty.edu/aat/300386087,Tussilago farfara (species)
http://vocab.getty.edu/aat/300435358,Aconitum (genus)
http://vocab.getty.edu/aat/300440742,etrogim
http://vocab.getty.edu/aat/300379708,Lychnis chalcedonica (species)
http://vocab.getty.edu/aat/300389671,Cryptomeria japonica (species)
http://vocab.getty.edu/aat/300400868,Rubia cordifolia
http://vocab.getty.edu/aat/300389961,Boraginaceae (family)
http://vocab.getty.edu/aat/300400872,Anchusa (genus)
http://vocab.getty.edu/aat/300380384,Onosma echioides (species)
http://vocab.getty.edu/aat/300128176,continents
http://vocab.getty.edu/aat/300387600,<forests by biome>
http://vocab.getty.edu/aat/300157402,boreal forests
http://vocab.getty.edu/aat/300387606,evergreen rainforests
http://vocab.getty.edu/aat/300387611,dry conifer forests
http://vocab.getty.edu/aat/300008881,savannas
http://vocab.getty.edu/aat/300387630,<marine bodies of water by biome>
http://vocab.getty.edu/aat/300387629,<bodies of freshwater by biome>
http://vocab.getty.edu/aat/300132301,lacustrine bodies of water
http://vocab.getty.edu/aat/300387632,coral reef areas
http://vocab.getty.edu/aat/300387637,coastal deserts
http://vocab.getty.edu/aat/300387643,alpine tundras
http://vocab.getty.edu/aat/300379806,suns (stars)
http://vocab.getty.edu/aat/300387671,Abelmoschus manihot (species)
http://vocab.getty.edu/aat/300387553,Spathodea campanulata (species)
http://vocab.getty.edu/aat/300389673,Phellodendron amurense (species)
http://vocab.getty.edu/aat/300389683,Senegalia senegal (species)
http://vocab.getty.edu/aat/300389684,Vachellia seyal (species)
http://vocab.getty.edu/aat/300389705,plantation shutters
http://vocab.getty.edu/aat/300389708,Bermuda shutters
http://vocab.getty.edu/aat/300389727,Vitaceae (family)
http://vocab.getty.edu/aat/300389835,Vitis (genus)
http://vocab.getty.edu/aat/300389730,Phormium tenax (species)
http://vocab.getty.edu/aat/300389859,Viereckschanzen
http://vocab.getty.edu/aat/300400631,sepulchral caves
http://vocab.getty.edu/aat/300387039,aerospace facilities
http://vocab.getty.edu/aat/300387088,abandoned watercourses (geographic features)
http://vocab.getty.edu/aat/300387507,frontiers
http://vocab.getty.edu/aat/300387241,former communities
http://vocab.getty.edu/aat/300008410,capital cities
http://vocab.getty.edu/aat/300443507,walled settlements
http://vocab.getty.edu/aat/300008544,buried cities
http://vocab.getty.edu/aat/300008461,fishing villages
http://vocab.getty.edu/aat/300387256,river ports
http://vocab.getty.edu/aat/300387662,prison towns
http://vocab.getty.edu/aat/300404130,halting places
http://vocab.getty.edu/aat/300412063,cult centers
http://vocab.getty.edu/aat/300008454,military towns
http://vocab.getty.edu/aat/300008420,agricultural settlements
http://vocab.getty.edu/aat/300387668,market hamlets
http://vocab.getty.edu/aat/300122715,tourist towns
http://vocab.getty.edu/aat/300008429,university cities
http://vocab.getty.edu/aat/300008430,college towns
http://vocab.getty.edu/aat/300387303,factory centers
http://vocab.getty.edu/aat/300155942,factory villages
http://vocab.getty.edu/aat/300008436,mill towns
