x,l
http://vocab.getty.edu/aat/300263271,fin keels
http://vocab.getty.edu/aat/300263234,putlogs
http://vocab.getty.edu/aat/300263242,nsibidi
http://vocab.getty.edu/aat/300264710,Nueva Cadiz beads
http://vocab.getty.edu/aat/300263293,counter sterns
http://vocab.getty.edu/aat/300444097,back plates (belt components)
http://vocab.getty.edu/aat/300262917,typographica
http://vocab.getty.edu/aat/300262870,ground ways
http://vocab.getty.edu/aat/300262989,shipyard structure components
http://vocab.getty.edu/aat/300045357,barge spikes
http://vocab.getty.edu/aat/300260120,stall components
http://vocab.getty.edu/aat/300260121,misericords (choir stall components)
http://vocab.getty.edu/aat/300260469,solar cells
http://vocab.getty.edu/aat/300004391,andra
http://vocab.getty.edu/aat/300004373,gynaecea
http://vocab.getty.edu/aat/300260523,museum shops
http://vocab.getty.edu/aat/300445399,ahpanehecayotl (headdress)
http://vocab.getty.edu/aat/300265829,character generators
http://vocab.getty.edu/aat/300252572,organ cases
http://vocab.getty.edu/aat/300262695,asen
http://vocab.getty.edu/aat/300400697,Arabic alphabet
http://vocab.getty.edu/aat/300255760,watching chambers
http://vocab.getty.edu/aat/300253366,dos-à-dos bindings
http://vocab.getty.edu/aat/300235765,signets (registers)
http://vocab.getty.edu/aat/300255796,post-office boxes
http://vocab.getty.edu/aat/300391149,eucharistic doves
http://vocab.getty.edu/aat/300257591,edition bindings (objects)
http://vocab.getty.edu/aat/300033603,drop escutcheons
http://vocab.getty.edu/aat/300252576,swells (keyboard instrument components)
http://vocab.getty.edu/aat/300252578,swell boxes
http://vocab.getty.edu/aat/300253057,recessed cords
http://vocab.getty.edu/aat/300263595,gilt tops (gathered matter components)
http://vocab.getty.edu/aat/300253505,<antennas by form>
http://vocab.getty.edu/aat/300253507,horn antennas
http://vocab.getty.edu/aat/300189671,satellite home antennas
http://vocab.getty.edu/aat/300265671,guard sheets
http://vocab.getty.edu/aat/300014467,Kevlar (TM)
http://vocab.getty.edu/aat/300445697,title page text
http://vocab.getty.edu/aat/300251006,talud-tableros (wall components)
http://vocab.getty.edu/aat/300264408,lanyards
http://vocab.getty.edu/aat/300310189,ankles (animal components)
